count,weighted_zu,weighted_zl,mean_expenses,min_expenses,max_expenses,families,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13
5,118531.54357899999,9267.971951,20821.2,13570,36659,"216,6528,4960,38372,61671",0,0,1,0,0,1,0,1,0,0,1,1,0,0
63,1075461.7088250013,124825.62695400018,17235.825396825396,5626,51256,"224,562,1297,1966,3038,3681,5561,9126,9282,8177,15230,15446,16287,18440,18937,19927,20818,22061,22699,23150,23572,26336,31195,33159,34603,38307,38570,39297,42317,42580,43356,45872,45989,46516,46854,47712,47803,50435,51441,54239,58743,64808,65847,66449,67751,68783,69831,73718,74468,76240,78345,79939,80473,80481,81117,81232,83907,84228,85597,86934,89201,89383,90001",0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,23143.0134254,2292.43281804,19979.0,19979,19979,59,0,0,0,0,0,0,0,0,1,0,0,0,2,2
110,1739909.0809760028,164467.28150599988,19356.636363636364,5138,120614,"232,1099,1958,2006,4721,6015,6098,9407,9902,9977,10603,10983,11957,12682,12690,13433,13565,13938,15131,15628,17392,18366,22673,23713,24471,24737,25338,25734,26864,27045,28902,29819,30486,30627,31450,31716,31849,32672,33142,33803,34058,34447,36301,36954,37044,38026,38224,38547,41228,41533,42291,43331,43760,43901,44628,45484,45666,47464,47613,47829,48256,49338,49346,49536,49940,50831,51938,52704,53876,54536,55327,55749,56838,57059,57547,61580,62588,62794,67413,68163,68502,68791,69237,70805,71266,71621,73205,73403,74062,78998,80622,81703,83063,83170,83295,83600,84020,84707,85506,85738,86462,86991,87049,87791,88963,89060,89276,89342,89813,89847",0,0,0,0,0,0,0,0,0,1,0,0,1,1
4,86926.29860519999,6980.9544307999995,20030.75,9415,31719,"240,13821,72835,85357",0,1,0,0,2,0,0,0,0,0,1,1,0,0
9,184750.20275759997,18336.7264374,15473.888888888889,8255,30447,"257,6585,21816,25551,26237,36442,57505,79269,90092",0,2,0,1,0,0,0,0,0,0,1,1,0,0
2,28350.841981,2488.6893972,8543.5,8312,8775,"265,87809",0,0,0,1,1,0,0,0,0,0,0,1,0,0
20,367550.0656520001,27932.009057999985,18344.1,4066,34403,"75,13102,14209,16923,18804,19240,27466,31070,32268,35386,35899,38422,39412,52027,56614,70839,72611,78360,86264,86777",0,0,0,1,1,0,0,0,0,0,1,1,0,0
89,783387.0285427001,84702.97838869996,9739.640449438202,2901,25215,"349,3368,1172,1578,1701,2162,2527,4580,5504,6114,7385,9068,8136,8490,10173,11817,12286,12294,14431,15115,18044,19984,21246,23085,23564,25833,26476,26716,28266,28639,31401,35469,35683,37341,38687,39255,40261,41491,42788,43935,44016,44024,44511,44685,44719,45054,45807,46599,47191,49767,50146,52886,53892,54361,55798,55863,59469,60228,61598,62737,65615,65755,65763,69369,70441,72231,73049,73510,75929,76612,76620,78204,79764,79962,80671,80812,81281,81729,82420,82487,82495,83287,85027,85902,86017,86298,87163,89243,89599",0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,810799.5587669993,42626.30658479995,17006.115942028984,5514,68552,"356,2295,2576,901,1438,3673,4531,4598,4663,4820,4986,5298,5421,6122,9118,8060,10082,10470,18200,19109,20180,22426,28001,28258,28621,29066,29900,29934,30031,31377,34272,35444,36293,36590,36699,37267,40824,42531,42549,43885,43968,44131,44388,45815,46151,47605,53447,61424,61499,63610,68304,68403,69187,71282,72553,73528,73726,75937,76877,77065,77107,78113,78667,79707,80507,82966,85258,85647,86595",0,0,0,0,0,0,0,0,0,1,1,0,0,0
5,51101.2475365,5012.1848025,7562.2,6551,9239,"398,638,17962,34405,67850",0,0,0,0,0,0,0,0,0,0,0,0,2,0
40,490229.33080000046,43287.200123999995,12786.6,3595,26431,"406,6270,6486,3400,1016,5413,9191,8003,10116,13003,14233,14530,16303,16709,16964,18010,18622,19885,21675,22335,23069,23952,25304,27706,28803,31799,33316,37291,41962,45617,46185,47696,63776,64329,75432,75796,81091,86926,88302,88633",0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,273106.3718592,20949.397355499998,17720.41176470588,5740,49658,"414,5017,5033,11007,12005,12658,20495,23358,23507,28142,36012,41368,47860,51524,67454,68585,90050",0,0,0,0,1,0,0,0,0,0,1,1,0,0
28,567531.6009551998,49957.35225599999,23332.678571428572,6002,69930,"422,14050,22129,25890,27425,28555,31005,31120,38299,38729,42275,44347,52167,52902,53850,53991,59493,61531,62919,65417,67173,67835,68155,70508,82362,83329,83717,86694",0,0,0,0,0,0,0,0,0,2,0,0,1,1
1,16570.095724600003,1696.7249354,22686.0,22686,22686,430,0,0,0,0,1,0,0,0,0,0,0,1,0,1
120,1560502.048367998,132476.9535119998,14367.6,2562,84375,"455,6288,2311,2378,7013,3640,3756,4549,5363,5785,6106,7526,8987,9159,11825,12443,12625,12997,13136,13730,14068,14795,15016,15081,15271,15487,15909,15925,15958,17970,18150,18168,18267,18887,19281,21279,21907,22137,22442,23614,23721,24513,25072,25403,25882,26575,27052,27144,28290,29330,29504,31468,32177,32300,32490,32938,33605,35915,35949,36350,37366,37457,37879,39123,39248,39610,40162,41301,42069,42127,42770,43000,44008,44578,44594,45278,46300,47969,48181,48579,50104,50773,53975,54072,54262,57562,59204,61689,61762,62430,63107,63438,63560,63628,64378,65433,67421,67710,68254,69062,70227,71878,71928,72272,72736,75770,75887,78642,78915,78931,79053,79228,79699,79830,80648,81513,82719,85274,89474,89888",0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,149848.3906731,13335.143518899999,22224.428571428572,11902,43410,"471,26773,33100,34777,46953,50740,82321",0,1,0,0,0,2,0,0,0,0,1,1,0,0
3,70584.02056080001,5112.24696012,13192.333333333334,9510,19860,"489,2469,86561",0,0,0,0,0,0,0,0,1,1,1,0,1,1
3,70824.2285874,6768.8489064000005,24904.333333333332,20840,28088,"513,70722,81927",0,0,0,0,0,0,1,0,0,2,0,1,1,0
45,509070.2437395004,38241.69375779999,12290.222222222223,4223,25433,"547,570,2584,2675,9233,9456,11023,12575,16642,17079,17400,18135,18242,20610,24646,25460,26120,27409,30098,31245,31682,33886,39990,41087,45864,45880,48967,52183,53272,56978,57653,63859,66670,69146,69260,69716,70342,70631,71894,74476,76455,77222,79517,79749,83493",0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,135666.0341099,10346.24417456,23150.428571428572,12542,31972,"554,18341,21519,26161,26195,56622,67959",0,0,0,0,0,0,0,0,2,0,0,1,1,0
2,36659.62128580001,1926.30867824,21068.0,5745,36391,"588,47621",0,0,0,0,0,0,0,0,3,0,0,0,0,1
2,28535.6287176,2596.45181012,5109.0,3287,6931,"596,76596",1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,57976.207611000005,4522.24888842,12607.333333333334,4477,20325,"604,48892,88617",0,0,0,0,0,1,0,1,1,0,0,1,0,0
1,22026.342619900002,2026.246795,14082.0,14082,14082,3459,0,0,0,1,0,1,0,0,0,1,0,1,1,0
1,29627.2179599,2569.2256367,21151.0,21151,21151,6171,0,0,0,0,0,3,0,1,0,1,0,1,1,0
7,165828.7097467,11058.46772058,26082.428571428572,13464,40076,"6189,35550,38901,47779,62778,80093,85951",0,0,0,0,1,0,0,1,1,0,1,1,0,0
6,140982.1662978,10612.97419428,25189.166666666668,16866,35944,"6197,17111,22111,41152,54791,81505",0,0,0,0,0,0,0,1,2,0,0,1,1,0
80,1182600.2787440002,95991.18867679995,18232.9375,5091,45889,"6205,6957,3384,1248,1347,3608,5389,6023,7211,7260,9027,7989,9886,12781,12914,12930,13029,13748,14621,15123,15529,16956,17004,18358,20263,21774,23309,24414,25395,25775,25940,29470,30197,30999,32243,33464,34520,35642,35691,39396,39701,39800,40121,41210,41855,43554,44230,45732,46169,48843,50526,50542,50575,51284,53264,54593,54676,54726,54866,55400,59063,59071,61275,61895,68569,69922,72561,73387,73627,74146,75135,76489,76497,77081,79095,82180,82990,86835,88013,88658",1,0,0,0,0,0,0,0,0,0,1,1,0,0
5,100094.577746,8015.0129465,19441.6,6297,28573,"6213,14308,29793,37606,81265",0,0,0,0,0,1,0,1,0,0,1,1,0,0
36,684143.9815680005,54678.57749639997,20299.5,7410,43549,"6247,6593,836,4804,5058,5637,5744,13482,17244,20461,21329,21592,26468,33613,34157,35196,40303,45567,46292,47951,49981,55525,55988,59618,69955,72538,74021,75218,75382,76331,81364,82701,83725,86058,86793,88237",0,0,1,1,0,0,0,0,0,0,1,1,0,0
27,533316.7943334,40038.5508948,21068.555555555555,10921,36660,"6254,1628,5231,8425,8847,14290,15206,21097,23432,25098,36392,37507,41046,41913,46078,48736,60335,66613,66720,68114,69138,73098,73957,76547,76760,82057,83121",0,0,1,0,1,0,0,0,0,0,1,1,0,0
